C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456,BMT,01/02/2016,03:00:00,REGULAR,0005478180,0001849152                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/02/2016,07:00:00,REGULAR,0005478183,0001849161                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/02/2016,11:00:00,REGULAR,0005478262,0001849240                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/02/2016,15:00:00,REGULAR,0005478519,0001849340                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/02/2016,19:00:00,REGULAR,0005478940,0001849403                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/02/2016,23:00:00,REGULAR,0005479213,0001849445                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/03/2016,03:00:00,REGULAR,0005479279,0001849457                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/03/2016,07:00:00,REGULAR,0005479282,0001849465                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/03/2016,11:00:00,REGULAR,0005479344,0001849513                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/03/2016,15:00:00,REGULAR,0005479558,0001849581                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/03/2016,19:00:00,REGULAR,0005479861,0001849627                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/03/2016,23:00:00,REGULAR,0005480016,0001849650                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/04/2016,03:00:00,REGULAR,0005480037,0001849659                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/04/2016,07:00:00,REGULAR,0005480054,0001849688                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/04/2016,11:00:00,REGULAR,0005480267,0001849999                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/04/2016,15:00:00,REGULAR,0005480499,0001850089                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/04/2016,19:00:00,REGULAR,0005481461,0001850166                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/04/2016,23:00:00,REGULAR,0005481770,0001850206                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/05/2016,03:00:00,REGULAR,0005481795,0001850213                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/05/2016,07:00:00,REGULAR,0005481808,0001850251                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/05/2016,11:00:00,REGULAR,0005481983,0001850609                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/05/2016,15:00:00,REGULAR,0005482235,0001850679                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/05/2016,19:00:00,REGULAR,0005483044,0001850779                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/05/2016,23:00:00,REGULAR,0005483391,0001850820                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/06/2016,03:00:00,REGULAR,0005483436,0001850827                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/06/2016,07:00:00,REGULAR,0005483458,0001850865                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/06/2016,11:00:00,REGULAR,0005483626,0001851260                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/06/2016,15:00:00,REGULAR,0005483826,0001851348                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/06/2016,19:00:00,REGULAR,0005484778,0001851442                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/06/2016,23:00:00,REGULAR,0005485169,0001851501                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/07/2016,03:00:00,REGULAR,0005485220,0001851508                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/07/2016,07:00:00,REGULAR,0005485234,0001851541                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/07/2016,11:00:00,REGULAR,0005485391,0001851901                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/07/2016,15:00:00,REGULAR,0005485637,0001851981                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/07/2016,19:00:00,REGULAR,0005486605,0001852076                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/07/2016,23:00:00,REGULAR,0005487003,0001852122                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/08/2016,03:00:00,REGULAR,0005487058,0001852132                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/08/2016,07:00:00,REGULAR,0005487070,0001852183                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/08/2016,11:00:00,REGULAR,0005487262,0001852541                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/08/2016,15:00:00,REGULAR,0005487542,0001852621                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/08/2016,19:00:00,REGULAR,0005488493,0001852711                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/08/2016,23:00:00,REGULAR,0005488911,0001852747                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/02/2016,03:00:00,REGULAR,0005043901,0001101510                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/02/2016,07:00:00,REGULAR,0005043902,0001101515                                             
